"Source:","D:\IV\Racunarska elektronika\projektni_zadatak\project_git\Konstantinopolj_Catapult_2\Sema\schematic.kicad_sch"
"Date:","1/25/2023 11:00:19 PM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","0.1uF1","08055A220JAT2A","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C1","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C2","100uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C3","22pF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C4","22pF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C5","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C6","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C7","100uf","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C8","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C9","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C10","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C11","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C12","10uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C13","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C14","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C15","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C16","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C17","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C18","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C19","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C20","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C21","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","C22","0.1uF","2022-12-14_18-04-28:08055A220JAT2A","footprints:08055A220JAT2A",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.5mm","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.5mm","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.5mm","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.5mm","~"
"","","J1","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","J2","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"","","J3","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"","","J4","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","J5","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"","","J6","USB_B","Connector:USB_B","Connector_USB:USB_B_TE_5787834_Vertical"," ~"
"","","J7","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","J8","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","J9","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","J10","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","J11","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","J12","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical","~"
"","","R1","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R2","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R3","270","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R4","820","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R5","300","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R6","7.5k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R7","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R8","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R9","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R10","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R11","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R12","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R13","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","R14","10k","HCJ0805ZT0R00:HCJ0805ZT0R00","HCJ0805ZT0R00j:HCJ0805ZT0R00",""
"","","TP1.1","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP1.2","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP2.1","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP2.2","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"","","TP3.1","TestPoint_Small","Connector:TestPoint_Small","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
